mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label,file,ZCR,Pitch
-422.5199,122.617355,-16.164803,27.747618,0.3280224,12.626387,-14.817373,3.4463344,-5.45258,-0.47618565,-20.15069,-8.426053,2.1239002,-7.472793,-3.7566805,0.39275765,-9.380007,-4.365549,-1.2413222,-6.821068,Angry,03-01-05-01-01-01-01_1.0158730158730158s_to_2.8792743764172335s.wav,0.13688047,20.571272
-439.7092,124.55495,-21.011017,7.3913393,-5.438174,-0.07204946,-22.969961,3.2721891,-17.634787,-15.435664,-5.7366586,-7.511901,-5.374104,-5.79138,-8.11174,-7.858102,-1.4641579,-6.1518636,-11.859012,-4.6141014,Angry,03-01-05-01-01-01-02_1.0158730158730158s_to_2.6760997732426306s.wav,0.12716778,19.417295
-440.8709,124.43369,-20.599396,7.319658,-5.484265,-0.06554534,-22.780684,3.222686,-17.625292,-15.4083395,-5.6638556,-7.3722167,-5.3099766,-5.837603,-8.201941,-7.9330044,-1.5478797,-6.204269,-11.885706,-4.6755056,Angry,03-01-05-01-01-01-02_1.0158730158730158s_to_2.681904761904762s.wav,0.12677413,19.31987
-541.2964,122.05224,0.66093177,34.992905,0.27928776,22.335197,-15.969659,2.2784448,-12.797866,-3.0130525,-1.9648018,-4.099414,-0.6728022,-1.4014664,-5.4582925,2.7061145,-6.205406,-2.0046785,-6.4654827,0.4510224,Angry,03-01-05-01-01-01-03_0.9694331065759637s_to_3.105668934240363s.wav,0.14776817,21.020197
-601.1514,107.113525,1.2718273,28.66186,3.839415,20.972927,-9.65253,4.1484537,-10.633107,-4.489908,-1.2822922,-3.226125,-0.6693898,-1.7726649,-3.7964036,1.9222993,-5.4021144,-2.1371553,-4.8985324,0.6566701,Angry,03-01-05-01-01-01-03_0.9694331065759637s_to_3.982222222222222s.wav,0.17434809,30.06428
-444.72137,110.45579,-26.240458,10.733203,-7.7571454,-7.403553,-21.641108,-2.434314,-19.555975,-19.254223,-11.392389,-9.919518,-8.11228,-10.292536,-16.263214,-1.6572839,-8.397236,-15.311837,-10.836799,-6.3677564,Angry,03-01-05-01-01-01-04_1.0100680272108844s_to_2.6760997732426306s.wav,0.13265306,17.003853
-445.3965,110.66149,-25.954082,10.402356,-7.810655,-7.16808,-21.47228,-2.549111,-19.587488,-19.245901,-11.316963,-9.855523,-8.056927,-10.252519,-16.209686,-1.5951372,-8.3462925,-15.303427,-10.837687,-6.359711,Angry,03-01-05-01-01-01-04_1.0100680272108844s_to_2.693514739229025s.wav,0.1326667,17.141008
-406.01343,142.01022,-21.212996,6.2456293,1.1935536,20.030886,-31.695578,-6.731675,-4.130761,-6.3082356,-14.319014,-10.071239,-1.9262623,-0.8178107,-12.2907295,0.99624145,-4.418249,-9.019809,-0.8987704,-2.4082928,Angry,03-01-05-01-01-01-05_0.9984580498866213s_to_2.9257142857142857s.wav,0.12658365,19.807217
-407.00436,142.06624,-20.876892,6.164562,1.1258558,19.92122,-31.479738,-6.6570125,-4.12774,-6.3380346,-14.282669,-10.049306,-1.9321569,-0.7977149,-12.207935,1.0131943,-4.358477,-8.934718,-0.8838087,-2.4195762,Angry,03-01-05-01-01-01-05_0.9984580498866213s_to_2.9315192743764173s.wav,0.12635528,19.773563
-523.11835,115.24169,-24.554367,4.6885734,-6.017484,4.5148244,-24.023485,-4.704314,-14.287152,-12.3811655,-7.666167,-4.6131487,-7.1263323,-12.669646,-3.3166935,-9.0789385,-11.978246,-2.1889193,-10.040271,-8.155418,Angry,03-01-05-01-01-01-06_1.0100680272108844s_to_2.896689342403628s.wav,0.13937078,17.954144
